,m,x,r,n,uj,d,v,ns,vn,p,nr,y,f,an,nt,c,a,zg,j,eng,l,df,q,g,ul,ug,nz,ad,t,i,uz,b,s,ud,uv,nrt,u,k,nrfg,z,ag,o,mq,ng,e,h,vq,rz,vg,vd,yg,rr,tg,vi,dg
经常,,,,,,"(50, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟,,,,,,,"(4, 55737)",,,"(252, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接触,,,,,,,"(59, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",,"(9517, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19379,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,,,"(1343, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,,,,,,,"(2736, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被,,,,,,,,,,"(2097, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域,,,,"(347, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歧视,,,,,,,"(1712, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经历,,,,"(262, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吗,,,,,,,,,,,,"(2583, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,,,"(2552, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
是,,,,,,,"(5725, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南,,,,,,,,"(14, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以前,,,,,,,,,,,,,"(88, 3193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
某,,,"(45, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邮,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区,,,,"(40, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上学,,,,"(24, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时候,,,,"(338, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最,,,,,,"(186, 16573)",,,,,,,"(2, 3193)",,,,"(12, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
痛苦,,,,,,,,,,,,,,"(5, 98)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事,,,,"(151, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就是,,,,,,"(608, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
做,,,,,,,"(183, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自我介绍,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5347,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何,,,"(2247, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
评价,,,,"(298, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加利福尼亚大学,,,,,,,,,,,,,,,"(257, 424)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教授,,,,"(595, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因为,,,,,,,,,,,,,,,,"(903, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
给,,,,,,,,,,"(503, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
学生,,,,"(333, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好,,,,,,,,,,,,,,,,,"(738, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成绩,,,,"(275, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而,,,,,,,,,,,,,,,,"(1404, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
停职,,,,,,,"(264, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
很,"(2, 18687)",,,,,"(698, 16573)",,,,,,,,,,,"(8, 9827)","(623, 1156)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公正,,,,,,,,,,,"(5, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
也,,,,,,"(1201, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没,,,,,,"(116, 16573)","(259, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
错,,,,"(18, 56016)",,,"(12, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23402,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林书豪,,,,,,,,,,,"(309, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美,,,,,,,,"(214, 16415)",,,,,,,,,,,"(342, 733)",,,,"(3, 597)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
职篮,,,,"(248, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（,,"(1008, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,,,,,,,,,,,,,,,,,,,,"(279, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
）,,"(977, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
会,,,,"(2, 56016)",,,"(1424, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遭到,,,,,,,"(519, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
种族歧视,,,,,,,,,,,,,,,,,,,,,"(2128, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姚明,,,,,,,,,,,"(393, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没有,,,,,,,"(927, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不要,,,,,,,,,,,,,,,,,,,,,,"(114, 114)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
说,,,,,,,"(1496, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这个,,,"(638, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
篮球,,,,"(6, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圈,,,,,,,,,,,,,,,,,,,,,,,"(6, 597)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄种人,,,,"(105, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白皮,,,,"(26, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,,"(691, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑皮,,,,"(14, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19307,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有些,,,"(279, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越南人,,,,,,,,,,,"(243, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
认为,,,,,,,"(709, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自己,,,"(1158, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东南亚,,,,,,,,"(289, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这样,,,"(159, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其实,,,,,,"(254, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都,,,,,,"(2031, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有利可图,,,,,,,,,,,,,,,,,,,,,"(2, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
才,,,,,,"(132, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界,,,,"(118, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几千年,"(16, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变化,,,,,,,,,"(4, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这么,,,"(901, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
来,,,,,,,"(340, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
谁,,,"(118, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
强,,,,,,,"(1, 55737)",,,,,,,,,,"(29, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影响力,,,,"(7, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大,,,,"(19, 56016)",,"(8, 16573)",,,,,,,,,,,"(469, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就,,,,,,"(1113, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向,,,,,,,,,,"(25, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
靠,,,,,,,"(35, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
学习,,,,,,,"(43, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比,,,,"(6, 56016)",,"(1, 16573)",,,,"(872, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
先进,,,,,,,,,,,,,,,,,"(13, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14744,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本,,,,,,,,"(2909, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老师,,,,"(372, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几乎,,,,,,"(272, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每节课,,,,"(252, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
要,,,,,,,"(597, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骂,,,,,,,"(559, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作为,,,,,,,"(756, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
留学生,,,,"(312, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
该,,,"(297, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怎么办,,,,,,,,,,,,,,,,,,,,,"(262, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
严肃,,,,,,,,,,,,,,,,,"(3, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怼,,,,,,,,,,,,,,,,,,,,,,,,"(84, 94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回去,,,,,,,"(89, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,"(2053, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这,,,"(674, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真理,,,,"(7, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18738,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呵呵,,,,,,,"(14, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呵,,,,,,,,,,,,"(2, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敢,,,,,,,"(34, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咱们,,,"(29, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南人,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暴脾气,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5414,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
看待,,,,,,,"(2344, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLM,,,,,,,,,,,,,,,,,,,,"(534, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,"(15, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lives,,,,,,,,,,,,,,,,,,,,"(13, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matter,,,,,,,,,,,,,,,,,,,,"(11, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缩写,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
：,,"(453, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15712,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国黑人,,,,"(949, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁愿,,,,,,"(253, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冒,,,,,,,"(253, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生命危险,,,,,,,,,,,,,,,,,,,,,"(257, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愿意,,,,,,,"(277, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
听,,,,,,,"(343, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
警察,,,,,,,"(1061, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指令,,,,"(282, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确定,,,,,,,"(7, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
觉得,,,,,,,"(1035, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡编乱造,,,,,,,,,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
污名,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化,,,,"(10, 56016)",,,"(7, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人家,,,,"(120, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死,,,,"(2, 56016)",,,"(55, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
了,,,,,,,,,,,,,,,,,,,,,,,,,"(2206, 2206)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21954,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应该,,,,,,,"(229, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
算有,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
过,,,,,,,,,,,,,,,,,,,,,,,,,,"(422, 425)",,,"(3, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
吧,,,,,,,,,,,,"(431, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5406,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度人,,,,,,,,,,,,,,,,,,,,,,,,,,,"(357, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
硅谷,,,,"(281, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如日中天,,,,,,,,,,,,,,,,,,,,,"(270, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华人,,,,"(642, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
却,,,,,,"(314, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
难,,,,,,,,,,,,,,,,,"(285, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
混入,,,,,,,"(262, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高层,,,,"(280, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好多,"(69, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拿,,,,,,,"(63, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱,,,,,,,"(61, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吹牛,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
只,,,,,,"(117, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPT,,,,,,,,,,,,,,,,,,,,"(3, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
干活,,,,,,,,,,,,,,,,,"(6, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忽视,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
那种,,,"(75, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拼了命,,,,,,,,,,,,,,,,,,,,,"(3, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奔,,,,,,,"(2, 55737)",,,,,,,,,,,"(1, 1156)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前程,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
努力,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(22, 807)",,,,,,,,,,,,,,,,,,,,,,,,,,,
他们,,,"(554, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
退路,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17190,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚裔,,,,"(2700, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华裔,,,,,,,,,,,"(738, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
该不该,,,,,,,"(245, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支持,,,,,,,"(423, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“,,"(902, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""",,"(219, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抗议,,,,,,,,,,,,,,,,,,,,,,,,,,,"(243, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
活动,,,,,,,,,"(257, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去,,,,,,,"(396, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
他妈的,,,,,,,,,,,,,,,,,,,,,"(3, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blm,,,,,,,,,,,,,,,,,,,,"(17, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搞,,,,,,,"(91, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alm,,,,,,,,,,,,,,,,,,,,"(3, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15393,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
